마을명,시군구명,읍면동명,행정리명,관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,면적,지정일자,수용인원수,주차가능수,관광지소개,휴무일,운영시간,요금정보,주요목적,편의시설,관리기관명,관리기관전화번호,데이터기준일자
신양리마을,서귀포시,성산읍,신양리,아쿠아플라넷 제주,아쿠아리움,제주특별자치도 서귀포시 성산읍 섭지코지로 95,제주특별자치도 서귀포시 성산읍 고성리 127-3,33.43287455,126.927681,25600,,,,450여종의 바다생명체가 있는 아시아 최대 수족관,연중무휴,(평일+주말+공휴일)09:30~19:00,40700원(성인)+38900원(청소년+경로)+36900원(어린이),공연+전시,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+엘리베이터,아쿠아플라넷㈜,1833-7001,2022-09-30
신양리마을,서귀포시,성산읍,신양리,붉은오름,오름,제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주특별자치도 서귀포시 성산읍 고성리 57,33.42742537,126.9336425,5343,,,,오름 전체가 붉은송이로 형성되어 있는 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,유도 및 안내시설,제주도청,064-120,2022-09-30
신양리마을,서귀포시,성산읍,신양리,소수산봉,오름,,제주특별자치도 서귀포시 성산읍 고성리 887,33.43675277,126.9122111,34119,,,,아름다운 일출봉과 광치기 해안을 볼 수 있는 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,,제주도청,064-120,2022-09-30
신양리마을,서귀포시,성산읍,신양리,섭지코지,자연명소,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주특별자치도 서귀포시 성산읍 고성리 87,33.42393671,126.9306049,750000,,,,아름다운 해안이 일품인 섭지,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산+산책로,공용주차장+현금결제+카드결제+화장실+편의점+음료대,,064-782-0080,2022-09-30
신양리마을,서귀포시,성산읍,신양리,광치기해변,해변,,제주특별자치도 서귀포시 성산읍 고성리 224-33,33.45231781,126.9238923,,,,,성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,해양스포츠+물놀이+포토스팟,공용주차장,,,2022-09-30
어멍아방잔치마을,서귀포시,성산읍,신풍리,아비앙또정원,정원,제주특별자치도 서귀포시 성산읍 남산봉로 235-165,제주특별자치도 서귀포시 성산읍 신풍리 1411,33.36924046,126.8207755,,,,,개인이 운영하는 정원. 아름다운 해바라기를 볼 수 있어 많은 사람들이 찾는 곳,연중무휴,(평일+주말+공휴일)10:00~18:00,5000원(성인+청소년+어린이+경로),관람,주차장+무료WIFI+반려동물동반+화장실,아비앙또정원,,2022-09-30
오조리마을,서귀포시,성산읍,오조리,식산봉,오름,,제주특별자치도 서귀포시 성산읍 오조리 313,33.46566816,126.9199326,53199,,,,성산읍 오조리에 위치한 측화산. 제주 기념물 제47호인 황근자생지 및 상록활엽수림이 있는 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,,제주도청,064-120,2022-09-30
오조리마을,서귀포시,성산읍,오조리,오조포구,포구,,제주특별자치도 서귀포시 성산읍 오조리,33.46323452,126.9210375,,,,,바다 위 성산일출봉의 모습이 보임. 인기 드라마의 촬영지로 쓰여 관광객들이 많이 찾는 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,관광지,,,,2022-09-30
혼인지마을,서귀포시,성산읍,온평리,혼인지마을,체험마을,제주특별자치도 서귀포시 성산읍 혼인지로 39-22 혼인지,제주특별자치도 서귀포시 성산읍 온평리 1693,33.41518977,126.8937838,,2013-04-01,,,"혼인지는 탐라국 건국신화 ‘삼신인’의 신화가 있는 곳으로, 넓은 연못인 혼인지에서 3신이 혼례를 올림으로써 자손이 늘어나고 농사가 시작되었다는 전설이 전해짐",연중무휴,(평일+주말+공휴일)08:00~17:00,무료,체험+포토스팟,화장실+음료대+유도 및 안내시설+경보 및 피난시설,혼인지농어촌체험휴양마을,064-784-5552,2022-09-30
감산리마을,서귀포시,안덕면,감산리,안덕계곡,계곡,,제주특별자치도 서귀포시 안덕면 감산리 1946,33.2571804,126.352557,22215,1993-08-19,,,"구가의 서' 촬영지, 제주의 아름다운 계곡 중 하나로 꼽히는 신비한 안덕계곡, 공사중으로 출입 전면 통제 중, 2023년 공사 완료 예정",연중무휴 ,(평일+주말+공휴일)00:00~24:00,무료,전망+관람,공용주차장+화장실+유도 및 안내시설,,064-794-9001,2022-09-30
감산리마을,서귀포시,안덕면,감산리,감귤체험농장 예래팜 본점,관람+체험,제주특별자치도 서귀포시 안덕면 일주서로 1513,제주특별자치도 서귀포시 안덕면 감산리 349,33.25866984,126.3541987,1653,,,,친환경으로 직접 지은 귤 따기 체험과 친환경 무농약 귤을 경험할 수 있는 곳,,(평일)09:00~18:00,5000원(감귤따기체험),체험,,예래팜-제주237농업회사법인㈜,,2022-09-30
감산리마을,서귀포시,안덕면,감산리,월라봉 진지동굴(안덕면),동굴,,제주특별자치도 서귀포시 안덕면 감산리 1162,33.2447052,126.3488505,,,,,아름답지만 슬픈 역사가 남아 있는 월라봉 진지동굴,연중무휴,,무료,관람,,,,2022-09-30
감산리마을,서귀포시,안덕면,감산리,건강과성박물관,박물관,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1404,33.25490453,126.3466608,7000,2006-05-09,,130,"건강과 성 박물관은 서귀포시 안덕면 감산리에서 세계최대, 최초의 제1종 성 박물관으로 운영",연중무휴,(평일+주말+공휴일+하절기)09:00~20:00+(평일+주말+공휴일+동절기)09:00~18:00+(평일+주말+공휴일+간절기)09:00~19:00,13000원(성인)+11000원(제주도민+경로우대+의무군경)+9000원(장애인),공연+전시,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+엘리베이터,제주건강과성박물관,064-792-5700,2022-09-30
감산리마을,서귀포시,안덕면,감산리,볼레낭길,숲,,제주특별자치도 서귀포시 안덕면 감산리 1049,33.23584661,126.3492461,,,,,"제주올레 9코스의 한 구간, 보리수나무가 흐드러진 볼레낭길",연중무휴,,무료,등산,,,,2022-09-30
감산리마을,서귀포시,안덕면,감산리,월나봉(도래오름),오름,,제주특별자치도 서귀포시 안덕면 감산리 1144,33.24390832,126.3494815,818809,,,,제주 서부일대의 전쟁유적지를 느낄 수 있는 오름,연중무휴,,무료,관람,운동기구,제주도청,064-120,2022-09-30
감산리마을,서귀포시,안덕면,감산리,창고천생태공원,자연+생태공원,,제주특별자치도 서귀포시 안덕면 감산리 1946,33.25643517,126.3548912,,,,,안덕지역을 통과하는 생태 공원,,,,등산,,,,2022-09-30
감산리마을,서귀포시,안덕면,감산리,박수기정,지역명소,,제주특별자치도 서귀포시 안덕면 감산리 1008,33.2364413,126.359158,,,,15,중문의 주상절리나 애월 해안도로의 해안 절벽 같은 멋진 풍경을 지닌 곳,연중무휴,,무료,전망+관람,공용주차장,대평리 마을,064-738-0409,2022-09-30
광평리마을,서귀포시,안덕면,광평리,왕이메오름,오름,,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.34352428,126.3765718,709179,,,,탐라국 삼신왕이 사흘 동안 기도를 드린 전설 속의 오름(마지막 입산시간:15:30),연중무휴,(평일+주말+공휴일)09:00~18:00,무료,등산,공용주차장,제주도청,064-120,2022-09-30
광평리마을,서귀포시,안덕면,광평리,돔박이오름,오름,,제주특별자치도 서귀포시 안덕면 광평리 산 89,33.33947266,126.3643392,68146,,,,키 큰 억새들의 오름,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
대평리마을,서귀포시,안덕면,대평리,군산,오름,,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.25310206,126.3699606,2836857,,,,비고 280m의 원추형(라바돔) 화구를 지닌 화산체,,,,등산,공용주차장,제주도청,064-120,2022-09-30
대평리마을,서귀포시,안덕면,대평리,대평포구,항구,,제주특별자치도 서귀포시 안덕면 창천리 914-5,33.23718348,126.3619046,,,,,"제주 올레 9코스의 시작 점이자 동시에 8코스의 종착점이며, 넓은 포구의 해안 길을 따라 걷다 보면 박수 기정이라 불리는 해안 절벽이 수려한 풍광을 자랑하고 있음",연중무휴,(평일+주말+공휴일)00:00~24:00,무료,산책,공용주차장,서귀포시청,064-120,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,은하감귤체험농장,과실재배,제주특별자치도 서귀포시 안덕면 덕수서로 250,제주특별자치도 서귀포시 안덕면 덕수리 1700,33.27249876,126.3045463,,,,,귤 따기 체험과 귤 판매를 하는 곳,연중무휴,(평일+주말+공휴일)09:00~17:00,5000원,체험,주차장+무료WIFI+반려동물동반+화장실,은하감귤체험농장,064-792-0008,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,감귤밭미즈허팜,과실재배,제주특별자치도 서귀포시 안덕면 덕수동로 93,제주특별자치도 서귀포시 안덕면 덕수리 1115,33.26166515,126.3141515,,,20,,부담없이 감귤체험을 할 수 있는 농장(10~3월 운영),하절기+간절기,(평일+주말+공휴일+동절기+간절기)09:30~17:00,12000원,체험,주차장+배달+예약+반려동물동반,,,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,미령이네,관광농원,제주특별자치도 서귀포시 안덕면 덕수서로 123,제주특별자치도 서귀포시 안덕면 덕수리 2107-8,33.26129007,126.3042515,,,,,직접 농사지은 귤 밭에서 귤 따기 체험농장을 운영 중,목요일,(평일+주말+공휴일)10:00~17:00,6000원,체험,주차장+예약+화장실,미령이네,064-792-0300,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,마노르블랑,식물원,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,제주특별자치도 서귀포시 안덕면 덕수리 2952,33.25481842,126.2949881,39669.6,2015-11-13,,50,7000여본에 유럽 수국과 장미 그리고 동백으로 꾸며진 아름다운 정원이 있는 아날로그감성 카페,연중무휴,(평일+주말+공휴일)09:00~19:00,4000원(성인),관람,무료주차장+화장실+반려동물동반,마노르블랑,064-794-0999,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,하영담아감귤농장,유기농산물,제주특별자치도 서귀포시 안덕면 덕수서로 45,제주특별자치도 서귀포시 안덕면 덕수리 2263-2,33.25428671,126.3046396,,,,,농촌과 도시의 연결고리인 하영담아 감귤농장,연중무휴,(평일+주말+공휴일)09:00~18:00,35000원(바구니당),체험,주차장+포장+배달예약,하영담아감귤농장,,2022-09-30
덕수리마을,서귀포시,안덕면,덕수리,루나폴,테마파크,제주특별자치도 서귀포시 안덕면 일주서로 1836,제주특별자치도 서귀포시 안덕면 덕수리 산 27,33.25413388,126.3222747,415675,,,,세계 최대규모 디지털 테마파크,연중무휴,(평일+주말+공휴일)19:00~24:00,22000원(성인)+20000원(청소년)+17000원(어린이),관람,주차장+예약+화장실,,0507-1326-9680,2022-09-30
동광마을,서귀포시,안덕면,동광리,제주아트서커스,공연장,제주특별자치도 서귀포시 안덕면 동광로 214,제주특별자치도 서귀포시 안덕면 동광리 886,33.31437865,126.3448081,,2004-01-17,,,"세계 최초 7인의 여전사, 오토바이쇼 상상 그 이상의 감동 국내 최초 오토바이쇼 상설 공연을 시작으로 항상 최고와 새로움을 추구하는 서커스월드 공연장",연중무휴,(평일+주말+공휴일)09:00~17:00(10:30/15:00/17:00 3회공연),20000원(성인)+18000원(청소년)+15000원(어린이),공연+전시,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설,제주아트서커스,064-794-4444,2022-09-30
동광마을,서귀포시,안덕면,동광리,무등이왓터,문화유적지,제주특별자치도 서귀포시 안덕면 신화역사로586번길 21-7,제주특별자치도 서귀포시 안덕면 동광리 233-1,33.30942864,126.3520825,,,,,불에 타 흔적만 남은 마을의 터,연중무휴,,무료,관람,공용주차장,,,2022-09-30
동광마을,서귀포시,안덕면,동광리,삼밭구석,문화유적지,,제주특별자치도 서귀포시 안덕면 동광리 1396,33.30995135,126.3307772,,,,,4.3사건 당시 죽은 삼밧구석 주민들의 원혼을 달래기 위해 마을 출신 주민들이 직접 세운 비석,연중무휴,,무료,관람,,,,2022-09-30
동광마을,서귀포시,안덕면,동광리,토이파크,박물관,제주특별자치도 서귀포시 안덕면 동광로 267-7,제주특별자치도 서귀포시 안덕면 동광리 383,33.31895498,126.3453645,,2018-02-01,,,국내외 진귀한 장난감이 모여 있는 꿈동산,연중무휴,(평일+주말+공휴일)09:00~19:30,8000원(성인+청소년+어린이),공연+전시,공용주차장+현금결제+카드결제+화장실+흡연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설,㈜토이파크,064-794-0333,2022-09-30
동광마을,서귀포시,안덕면,동광리,조은승마장,승마장,제주특별자치도 서귀포시 안덕면 동광로 265-14,제주특별자치도 서귀포시 안덕면 동광리 897-2,33.3182399,126.3448302,,,,,아이들과 함께하는 승마체험,연중무휴,(평일+주말)09:00~18:00,,레저+체험,공용주차장,조은승마장,064-792-0550,2022-09-30
동광마을,서귀포시,안덕면,동광리,당오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,33.33409324,126.3356543,415293,,,,뱀을 신으로 모시던 신당이 있던 오름,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
동광마을,서귀포시,안덕면,동광리,원물오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 41,33.32320578,126.3448844,584056,,,,동광리에 위치한 측화산,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
동광마을,서귀포시,안덕면,동광리,거린오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 94,33.30313462,126.3319271,247021,,,,제주도 서부를 한눈에 조망할 수 있는 거린오름,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
동광마을,서귀포시,안덕면,동광리,밝은오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 736,33.30126738,126.3414677,54945,,,,명칭을 벗어나 숲을 이룬 환경으로 시민들을 받아들이는 착한 화산체,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
동광마을,서귀포시,안덕면,동광리,감낭오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 41,33.32491736,126.3501824,117.413,,,,오름 주변에 감나무가 있었음에 연유하여 감낭이라 이름 붙여진 오름,연중무휴,,무료,등산,,제주도청,064-120,2022-09-30
동광마을,서귀포시,안덕면,동광리,북오름,오름,,제주특별자치도 서귀포시 안덕면 동광리 산 93,33.30627296,126.3320643,121783,,,,안덕 곶자왈 지대에 위치한 북오름,연중무휴,,무료,관람,,제주도청,064-120,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,제주커피수목원,관광농원,,제주특별자치도 서귀포시 안덕면 사계리 3136,33.23855212,126.2872649,,,,,다양한 체험이 가능한 커피수목원,연중무휴,(평일+주말+공휴일)09:00~18:00,,체험,주차장+예약+무료WIFI,제주커피수목원,064-792-5554,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,대정향교,문화유적지,제주특별자치도 서귀포시 안덕면 향교로 165-17,제주특별자치도 서귀포시 안덕면 사계리 3126-1,33.23954804,126.2883834,,1971-08-26,,,서귀포시 안덕면 사계리에 있는 조선시대의 향교,연중무휴,,,,,대정향교,064-794-7944,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,산방굴사,문화유적지,제주특별자치도 서귀포시 안덕면 산방로 218-12,제주특별자치도 서귀포시 안덕면 사계리 3693,33.2379626,126.3130893,,,,,불상이 있어 사찰로 불리는 아름다운 풍광을 가진 산방굴사,연중무휴,(평일+주말+공휴일)08:30~18:00,1000원(성인)+500원(청소년+어린이),관람,공용주차장+현금결제+카드결제+화장실+편의점+음료대+유도 및 안내시설,,064-760-6321,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,형제섬,섬,,제주특별자치도 서귀포시 안덕면 사계리 산 44,33.21000356,126.3143429,,,,,바다 한가운데 바위처럼 보이는 크고 작은 섬 2개가 사람의 형과 아우처럼 마주보고 있다 하여 붙여진 형제섬,연중무휴,,,전망+관람,공용주차장+화장실+편의점+음료대+유도 및 안내시설+경보 및 피난시설,,064-760-2913,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,형제해안로전망대,전망대,제주특별자치도 서귀포시 안덕면 형제해안로 26,제주특별자치도 서귀포시 안덕면 사계리 2147-13,33.22784929,126.3038673,,,,,형제섬이 보이는 형제해안로 전망대,연중무휴,,,전망+관람,공용주차장,,064-760-2913,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,용머리하멜상선전시관,전시관,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-30,제주특별자치도 서귀포시 안덕면 사계리 116-7,33.23330914,126.3137051,550,,,,제주에 표류했던 네델란드인 하멜을 기념하기 위한 전시관,연중무휴,(평일+주말+공휴일+하절기)08:00~18:00+(평일+주말+공휴일+동절기)08:00~17:00,2500원(성인)+1500원(청소년+어린이),관람,,,064-760-6321,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,산방산 랜드,테마파크,,제주특별자치도 서귀포시 안덕면 사계리 117-2,33.23379167,126.311695,,2007-04-02,,,"산방산과 용머리 해안 관광지구에 설치된 곳으로 바이킹시설, 야구연습장 등  다양한 시설이 있는 곳",연중무휴,(평일+주말+공휴일+하절기)09:00~19:00+(평일+주말+공휴일+동절기)09:00~18:00,,레저+체험,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설,산방산랜드,064-794-1425,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,용머리해안,해수욕장,,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.23166941,126.3147424,51132,2011-01-13,,,사계리에 위치한 천연기념물 제526호 용머리해안,연중무휴,(평일+주말+공휴일)10:30~17:00,2000원(성인)+1000원(청소년+어린이),전망+관람,공용주차장+화장실+유도 및 안내시설,,064-794-2940,2022-09-30
사계리어촌체험휴양마을,서귀포시,안덕면,사계리,사계해변,해수욕장,,제주특별자치도 서귀포시 안덕면 사계리 2032-51,33.22867589,126.3086052,,,,,산방산 바로 아래쪽에 위치한 작고 한적한 해변,연중무휴,,,전망+관람,공용주차장+화장실+편의점+음료대+유도 및 안내시설,,064-760-2772,2022-09-30
상창리마을,서귀포시,안덕면,상창리,파더스가든,관광농원,제주특별자치도 서귀포시 안덕면 병악로 44-33,제주특별자치도 서귀포시 안덕면 상창리 804,33.27994772,126.3657545,,,,,1966년부터 가꿔온 조경수농장을 2021년부터 관광농원으로 지정하여 약 50여년만에 오픈한 공간,연중무휴,(평일+주말+공휴일)09:00~18:00,10000원(성인)+8000원(어린이+청소년+경로+군인),체험,단체석+공용주차장+예약+무료WIFI+반려동물동반+유아시설(놀이방)+화장실+장애인편의시설,파더스가든,070-8861-8899,2022-09-30
상창리마을,서귀포시,안덕면,상창리,낭만농장 귤밭76번지,관광농원,제주특별자치도 서귀포시 안덕면 병악로 76,제주특별자치도 서귀포시 안덕면 상창리 906,33.28304844,126.3651497,,,,,제주도에서 귤 농사를 짓고 있는 청년들의 손길에서 비롯된 곳,연중무휴,(평일+주말+공휴일)10:00~17:00,2000원(입장료),체험,,주식회사 제주엘케이컴퍼니,070-4001-5303,2022-09-30
상창리마을,서귀포시,안덕면,상창리,로빈맘금귤따기,관광농원,제주특별자치도 서귀포시 안덕면 한창로 368,제주특별자치도 서귀포시 안덕면 상창리 1978,33.29239067,126.351473,,,,,감귤 따기 체험을 할 수 있는 농장,연중무휴,(평일+주말+공휴일)09:30~17:00,10000원(금귤1kg),체험,단체석+공용주차장+예약+무료WIFI+반려동물동반,로빈맘금귤따기,0507-1417-6012,2022-09-30
상창리마을,서귀포시,안덕면,상창리,피규어뮤지엄제주,박물관,제주특별자치도 서귀포시 안덕면 한창로 243,제주특별자치도 서귀포시 안덕면 상창리 1875-8,33.2819835,126.3553138,435.34,2018-04-26,,,피규어 및 토이를 테마로 테마파크의 기능을 접목시킨 새로운 개념의 뮤지엄,월요일,(평일+주말+공휴일)11:00~19:00,15000원(성인)+13500원(청소년)+12000원(어린이),공연+전시,공용주차장+예약+무료WIFI+화장실+장애인편의시설,㈜피규어뮤지엄더블유,02-512-8865,2022-09-30
상창리마을,서귀포시,안덕면,상창리,세계자동차&피아노 박물관,박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1610,제주특별자치도 서귀포시 안덕면 상창리 2065-4,33.28383328,126.3497557,157000,2008-05-09,,,인간이 만든 가장 위대한 발명품인 역동적인 자동차와 인간의 감성을 가장 잘 표현해주는 악기 예술의 상징 피아노의 역사와 문화의 모든 것을 볼 수 있는 공간,연중무휴,(평일+주말+공휴일)09:00~18:00,13000원(성인)+12000원(청소년+어린이)+10000원(경로+장애인),공연+전시,공용주차장+현금결제+카드결제+화장실+흡연구역+음료대+유도 및 안내시설,세계자동차&피아노 박물관,064-792-3000,2022-09-30
상창리마을,서귀포시,안덕면,상창리,카멜리아힐,식물원,제주특별자치도 서귀포시 안덕면 병악로 166,제주특별자치도 서귀포시 안덕면 상창리 271,33.28963464,126.3700054,,2010-02-19,,,80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있는 곳,연중무휴,(평일+주말+공휴일+하절기)08:30~19:00+(평일+주말+공휴일+동절기)08:30~18:00+(평일+주말+공휴일+간절기)08:30~18:30,9000원(성인)+7000원(청소년+경로+군인)+6000원(장애인+보훈대상+4.3유족+어린이),포토스팟,공용주차장+현금결제+카드결제+화장실,카멜리아힐,064-800-6296,2022-09-30
상창리마을,서귀포시,안덕면,상창리,소병악오름,오름,,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.30834791,126.3743069,178836,,,,울창한 자연림의 숲을 이루고 있는 소병악,,,,등산,,제주도청,064-120,2022-09-30
상창리마을,서귀포시,안덕면,상창리,대병악오름,오름,,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.30625711,126.3682552,301657,,,,오름 꼭대기 언저리가 마치 여자의 얹은머리 모양과 닮았다고 해서 여진머리오름이라는 이름이 있는 오름,,,,등산,,제주도청,064-120,2022-09-30
상창리마을,서귀포시,안덕면,상창리,뽀로로 & 타요테마파크,테마파크,제주특별자치도 서귀포시 안덕면 병악로 269,제주특별자치도 서귀포시 안덕면 상창리 80,33.3004187,126.3708258,,2019-10-17,,,아이들에게 인기만점인 캐릭터 뽀로로와 타요를 만날 수 있는 테마파크,연중무휴,(평일+주말+공휴일)10:00~18:00,30000원(테마파크종합이용권성인)+40000원(테마파크종합이용권어린이)+15000원(타요트램플린존이용권성인+뽀로로파크존이용권성인+Big3이용권)+25000원(타요트램플린존이용권어린이+뽀로로파크존이용권어린이)+20000원(Big5이용권),유아시설,공용주차장+화장실,㈜뽀로로파크,064-742-8555,2022-09-30
상창리마을,서귀포시,안덕면,상창리,헬로키티아일랜드,테마파크,제주특별자치도 서귀포시 안덕면 한창로 340,제주특별자치도 서귀포시 안덕면 상창리 1963-2,33.29014301,126.3520466,3756.34,2015-04-22,,,많은 사랑을 받고 있는 헬로키티 전시관,연중무휴,(평일+주말+공휴일)09:00~18:00,14000원(성인)+13000원(청소년)+11000원(어린이),공연+전시,공용주차장+현금결제+카드결제+화장실+흡연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터,(주)제이콥씨앤이,064-792-6114,2022-09-30
상천리마을,서귀포시,안덕면,상천리,포도뮤지엄,미술관,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도 서귀포시 안덕면 상천리 837,33.31927503,126.3859735,,2021-05-03,,,다양성을 존중하고 서로의 생각을 공유하는 열린 문화공간,화요일,(평일+주말+공휴일)10:00~18:00,10000원(성인)+6000원(청소년)+4000원(어린이),공연+전시,공용주차장+예약+무료WIFI+화장실+장애인편의시설,포도뮤지엄,064-794-5115,2022-09-30
상천리마을,서귀포시,안덕면,상천리,본태박물관,박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,제주특별자치도 서귀포시 안덕면 상천리 380,33.30377225,126.3924802,2424.05,2012-11-29,700,,차용된 빛과 물이 조화롭게 어우러진 박물관,연중무휴,(평일+주말+공휴일)10:00~18:00,20000원(성인)+12000원(학생)+10000원(미취학),관람,공용주차장+예약+무료WIFI+화장실,본태박물관,064-792-8108,2022-09-30
상천리마을,서귀포시,안덕면,상천리,수풍석 뮤지엄,박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,제주특별자치도 서귀포시 안덕면 상천리 796,33.29992277,126.3898026,,,,,"수(水) ∙ 풍(風) ∙ 석(石)뮤지엄은 제주도의 으뜸 요소인 물, 바람, 돌을 각각의 테마로 삼고 있는 공간",토요일+일요일+공휴일,(평일)10:00~17:00,30000원(성인)+15000(초등학생),공연+전시,셔틀버스,비오토피아 주민회,,2022-09-30
상천리마을,서귀포시,안덕면,상천리,영아리,오름,,제주특별자치도 서귀포시 안덕면 상천리 산 19,33.33005226,126.3999625,477656,,,,안덕면 상천리 산24번지 일대에 걸쳐 있는 오름,,,,등산,,제주시청,064-120,2022-09-30
상천리마을,서귀포시,안덕면,상천리,아라고나이트 고온천,온천,제주특별자치도 서귀포시 안덕면 산록남로762번길 71 ,제주특별자치도 서귀포시 안덕면 상천리 380-7,33.30296708,126.3921502,,,,,국내 유일의 아라고나이트 심층 고온천,매월3번째수요일,(평일+주말+공휴일)07:00~21:00,35000원(성인)+17500원(어린이),휴양,공용주차장,디아넥스호텔,064-793-6006,2022-09-30
상천리마을,서귀포시,안덕면,상천리,무민랜드제주,전시관,제주특별자치도 서귀포시 안덕면 병악로 420,제주특별자치도 서귀포시 안덕면 상천리 470-6,33.30651247,126.381831,4150,,,,무민 이야기가 예술로 살아 숨쉬는 감성 공간,연중무휴,(평일+주말+공휴일)10:00~19:00,15000원(성인)+14000원(청소년)+12000원(어린이),공연+전시,공용주차장+장애인편의시설+화장실,㈜제이콥,064-794-0420,2022-09-30
서광동리마을,서귀포시,안덕면,서광동리,신화역사공원,자연공원,,제주특별자치도 서귀포시 안덕면 서광리 산24-8,33.29894392,126.3173224,,,,,제주의 신화·역사를 핵심 테마로 한 복합관광단지,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,산책,공용주차장,람정 제주개발주식회사,064-797-5773,2022-09-30
서광동리마을,서귀포시,안덕면,서광동리,이상한나라의 앨리스,지역명소,제주특별자치도 서귀포시 안덕면 중산간서로 1881,제주특별자치도 서귀포시 안덕면 서광리 717-3,33.28897754,126.3216056,,,,,국내 최초 거울로 된 미로! 이상한 나라의 앨리스 안은 마치 아주 넓은 공간에 들어온 느낌으로 배경과 함께 즐기면서 미로 탈출을 체험하는 공간,연중무휴,(평일+주말+공휴일)09:00~19:00,6000원(성인)+5000원+(청소년+어린이+성인단체20인이상)+4000원(청소년단체20인이상+어린이단체20인이상),오락,공용주차장+현금결제+카드결제+화장실+무료WIFI,이상한나라의 앨리스,064-794-4700,2022-09-30
서광동리마을,서귀포시,안덕면,서광동리,서광리123카페,카페,제주특별자치도 서귀포시 안덕면 중산간서로 1769 1층 101~102호,제주특별자치도 서귀포시 안덕면 서광리 122,33.28589606,126.3336473,57.66,,,,핑크뮬리 관광명소,연중무휴,(평일+주말+공휴일)10:00~21:00,3000원(입장료),포토스팟,공용주차장+현금결제+카드결제+화장실+무료WIFI,서광리123카페,0507-1339-4217,2022-09-30
